sep=\t
Module Resource Usage Distribution Estimates
Generated at: Oct 25, 2025 16:06:28

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        ADDs	        LUTs	      RAMs	 DSP/MULTs
edb_top:edb_top                                             	     616(0)	     155(0)	     898(0)	     1(0)	     0(0)	
 +la0:edb_la_top(INPUT_PIPE_STAGES=1,UUID=128'b11100110111000100101111110000111111100101001000001000110110111111000010010010001111001100010110101100000100111110110101000000000,PROBE0_TYPE=1)	   529(315)	    155(39)	   883(577)	     1(0)	     0(0)	
  +axi_crc_i:edb_adbg_crc32                                 	     32(32)	       0(0)	     57(57)	     0(0)	     0(0)	
  +GEN_PROBE[0].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       8(8)	       0(0)	       8(8)	     0(0)	     0(0)	
  +trigger_tu:trigger_unit(WIDTH=32'b01,PIPE=1)             	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	
  +trigger_skipper_n:trigger_skipper                        	     65(65)	     63(63)	     90(90)	     0(0)	     0(0)	
  +la_biu_inst:la_biu(CAPTURE_WIDTH=32'b01)                 	    108(32)	      53(0)	    150(72)	     1(0)	     0(0)	
   +fifo_with_read_inst:fifo_with_read(DATA_WIDTH=32'b010)  	     76(56)	     53(53)	     78(46)	     1(0)	     0(0)	
    +transcode_write_addr:fifo_address_trancode_unit        	     10(10)	       0(0)	     11(11)	     0(0)	     0(0)	
    +transcode_read_addr:fifo_address_trancode_unit         	     10(10)	       0(0)	     21(21)	     0(0)	     0(0)	
    +simple_dual_port_ram_inst:edb_simple_dual_port_ram(DATA_WIDTH=32'b010,ADDR_WIDTH=10,RAM_INIT_FILE="")	       0(0)	       0(0)	       0(0)	     1(1)	     0(0)	
 +debug_hub_inst:debug_hub                                  	     87(87)	       0(0)	     15(15)	     0(0)	     0(0)	
